,orig,target,INV,target,ts,SIB,target,ts
25,"Taskmaster Coach Brings  #39;Suffering #39; (and Medicine Ball) Wolf Wigo was 27, earning well into six figures as an options trader in San Francisco, when Ratko Rudic invaded his life. It was 2001, a year after the Sydney Olympics, where ",1,"Taskmaster Coach Brings  #39;Suffering #39; (and Medicine Ball) Wolf Wigo was 27, earning well into six figures as an options trader in San Francisco, when Ratko Rudic invaded his life. It was 2001, a year after the Sydney Olympics, where          DICTIONARY.COM THESAURUS.COM MEANINGS MEANINGS Emoji Slang Acronyms Pop Culture Memes Gender and Sexuality Mixed-up Meanings WORD GAMES WORD GAMES Quizzes Crossword Solver Scrabble Word Finder Words With Friends Cheat Daily Crossword Puzzle LEARN LEARN Online Tutors New Words Word Trends All About English Science and Technology Literature and Arts WRITING WRITING Grammar Coach Grammar Coach Pricing Writing Prompts Grammar 101 Writing Tips Ways to Say It Better WORD OF THE DAY WORD OF THE DAY Word of the Day Synonym of the Day Word of the Year Word List Account Settings Subscriptions Help Center Sign Out DEFINITIONS SYNONYMS Search MEANINGS MEANINGS Emoji Slang Acronyms Pop Culture Memes Gender and Sexuality Mixed-up Meanings WORD GAMES WORD GAMES Quizzes Crossword Solver Scrabble Word Finder Words With Friends Cheat Daily Crossword Puzzle LEARN LEARN Online Tutors New Words Word Trends All About English Science and Technology Literature and Arts WRITING WRITING Grammar Coach Grammar Coach Pricing Writing Prompts Grammar 101 Writing Tips Ways to Say It Better WORD OF THE DAY WORD OF THE DAY Word of the Day Synonym of the Day Word of the Year Top Definitions  Quizzes  Related Content  Examples  Explore Dictionary  British  Medical  defective [ dih- fek -tiv  ] SHOW IPA / dɪˈfɛk tɪv  / PHONETIC RESPELLING SEE SYNONYMS FOR  defective ON THESAURUS.COM adjective having a defect or flaw; faulty; imperfect: a defective machine. Psychology . characterized by subnormal intelligence or behavior. Grammar . (of an inflected word or its inflection) lacking one or more of the inflected forms proper to most words of the same class in the language, as English must, which occurs only in the present tense. noun a defective person or thing. QUIZZES CAN YOU IDENTIFY LITERATURE’S FAMOUS OPENING LINES? The opening line of any book should say, in the words of Stephen King, “Listen. Come in here. You want to know about this.” Right? So intriguing!

But, alas, that is not how books begin. So, how well do you know the actual opening lines from some of literature's greatest novels? Correctly match these memorable openers with their works of fiction and consider yourself an excellent listener! Question 1 of 13 “If you really want to hear about it, the first thing you'll probably want to know is where I was born, and what my lousy childhood was like, and how my parents were occupied and all before they had me, and all that David Copperfield kind of crap, but I don't feel like going into it, if you want to know the truth.” David Copperfield by Charles Dickens The Adventures of Huckleberry Finn by Mark Twain The Catcher in the Rye by J.D. Salinger The Outsiders by S.E. Hinton TAKE THE QUIZ TO FIND OUT  Origin of  defective 1375–1425; <Late Latin dēfectīvus, equivalent to dēfectus (see defect ) + -īvus -ive ;  replacing Middle English defectif <Middle French <Late Latin,  as above SYNONYMS FOR defective 1  incomplete , deficient . SEE SYNONYMS FOR  defective ON THESAURUS.COM ANTONYMS FOR defective 1  perfect , complete . SEE ANTONYMS FOR  defective ON THESAURUS.COM OTHER WORDS FROM defective de·fec·tive·ly,  adverb de·fec·tive·ness,  noun non·de·fec·tive,  adjective non·de·fec·tive·ly,  adverb non·de·fec·tive·ness,  noun pre·de·fec·tive,  adjective un·de·fec·tive,  adjective un·de·fec·tive·ly,  adverb un·de·fec·tive·ness,  noun SEE MORE RELATED FORMS SEE FEWER RELATED FORMS   Words nearby defective defecate , defecation , defect , defectible , defection , defective , defective bacteriophage , defective virus , defector , defederalize , defence Dictionary.com Unabridged
Based on the Random House Unabridged Dictionary, © Random House, Inc. 2020 Words related to defective damaged , unhealthy , deficient , inadequate , abnormal , unsound , insufficient , faulty , flawed , amiss , impaired , imperfect , incomplete , injured , lacking , out of order , poor , sick , unfinished , wanting Example sentences from the Web for defective The nominal point of the modules is to make it easier to replace defective cells, but Musk early this year declared that Tesla no longer needs modules, and eliminating the intermediate step should reduce both costs and vehicle weight. What Tesla’s Battery Day might reveal: Project Roadrunner, Model S Plaid, and more | dzanemorris | September 21, 2020 | Fortune The company has largely avoided responsibility for dangerous or defective products sold on its giant third-party marketplace by claiming that, technically, it isn’t the seller. Why Etsy’s CEO is accusing Amazon of trying to wipe out its competition | Marc Bain | August 26, 2020 | Quartz Reverse transcriptase is error prone, often resulting in defective or incomplete copies of the virus. In a first, a person’s immune system fought HIV — and won | Tina Hesman Saey | August 26, 2020 | Science News In fact, more activists said that the campaign messaging and strategy were defective , or that Clinton herself was to blame. How Clinton’s Loss Paved The Way For Biden | Seth Masket | August 20, 2020 | FiveThirtyEight The case involved a lawsuit brought against Amazon by plaintiff Angela Bolger, who claimed a replacement laptop battery she bought from a third-party seller on the site was defective . Amazon’s days of dodging liability for its marketplace could be numbered | Marc Bain | August 14, 2020 | Quartz Flaubert, for instance, hated the works of Dickens: “What defective composition!” The Birth of the Novel | Nick Romeo | November 27, 2014 | DAILY BEAST Seven years ago, a Chevy Cobalt with a defective ignition switch killed two teenage girls. The Cops Who Found Out the Truth About GM's Deadly Cars—in 2006 | Michael Daly | July 17, 2014 | DAILY BEAST By either estimate, the defective switch cost Amy Rademaker and at least a dozen other people their lives. The Cops Who Found Out the Truth About GM's Deadly Cars—in 2006 | Michael Daly | July 17, 2014 | DAILY BEAST Seattle was faster, stronger, hungrier, and more prepared, and Manning seemed like a wizard with a defective wand. Super Blowout: Seahawks Buck Broncos to Take Home the Championship Title | Ben Teitelbaum | February 3, 2014 | DAILY BEAST In The Conjuring, the Warrens brush off alleged hauntings as the result of drafts or defective pipes. A Night with The Conjuring’s Ed & Lorraine Warren | Stefan Beck | August 18, 2013 | DAILY BEAST The great difficulty is in determining whether or not there is a defective ancestry in a given stock. Being Well-Born | Michael F. Guyer Having a weak constitution and defective sight, he avoided the conscription. Library Of The World's Best Literature, Ancient And Modern, Vol 4 | Charles Dudley Warner The Jure Divino is defective in arrangement and versification. Pamphlets and Parodies on Political Subjects | William Hone Here is a man who, from whatever cause, is bodily ill-born, with defective organs. Speeches, Addresses, and Occasional Sermons, Volume 1 (of 3) | Theodore Parker There is also much doubt as to the way in which the statisticians have used the term ""abnormal"" or "" defective ."" Mentally Defective Children | Alfred Binet SEE MORE EXAMPLES SEE FEWER EXAMPLES   Explore Dictionary.com “Have” vs. “Has”: When To Use Each One What Is An Em Dash And How Do You Use It? What Are All Of The Different Names For Santa Claus? What Is “GOP” Short For? Why Do “Left” And “Right” Mean Liberal And Conservative? Stop Using These Phrases In 2020 (Use These Synonyms Instead) British Dictionary definitions for  defective defective / ( dɪˈfɛktɪv ) / adjective having a defect or flaw; imperfect; faulty (of a person) below the usual standard or level, esp in intelligence grammar  (of a word) lacking the full range of inflections characteristic of its form class, as for example must, which has no past tense Derived forms of defective defectively , adverb defectiveness , noun Collins English Dictionary - Complete & Unabridged 2012 Digital Edition 
© William Collins Sons & Co. Ltd. 1979, 1986 © HarperCollins 
Publishers 1998, 2000, 2003, 2005, 2006, 2007, 2009, 2012 Medical definitions for  defective defective [ dĭ-fĕk ′ tĭv ] n. Having an imperfection or malformation. Lacking or deficient in some physical or mental function. The American Heritage® Stedman's Medical Dictionary 
 Copyright © 2002, 2001, 1995 by Houghton Mifflin Company. Published by Houghton Mifflin Company. WORD OF THE DAY gravitas noun | [ grav -i-tahs, ‐tas ] SEE DEFINITION Others Are Reading The People’s Choice 2020 Word Of The Year: 2020 Was A $#@#%%$@! The Dictionary.com Word Of The Year For 2020 Is … Describe 2020 In Just One Word? We Asked, You Answered. “Affect” vs. “Effect”: Use The Correct Word Every Time    The Word Of The Year Is ... Browse the Dictionary : # A B C D E F G H I J K L M N O P Q R S T U V W X Y Z Browse by Category: Slang Emoji Acronyms Pop Culture More About Careers Contact Us Cookies, Terms, & Privacy  Cookie Settings © 2020 Dictionary.com, LLC     ",0,"['AddNegativeLink', 'ImportLinkText']","It was 2001, a year after the Sydney Olympics, where  IBM Exec Outlines PeopleSoft Deal (Ziff Davis) Ziff Davis - Q A: The development alliance will give both companies a broader reach in the marketplace, with the first offerings coming in early 2005, says Buell Duncan, IBM's general manager of ISV and developer relations."" b""Taskmaster Coach Brings  #39;Suffering #39; (and Medicine Ball) Wolf Wigo was 27, earning well into six figures as an options trader in San Francisco, when Ratko Rudic invaded his life.","[0.0, 0.46954813359528486, 0.0, 0.5304518664047151]",SentMix
26,Greeks deny failed drug test reports ATHENS (Reuters) - Greek Olympics officials say they are unaware of any team member failing a drugs test after media reports that the International Olympic Committee had found a Greek competitor had taken banned substances. ,1,"Greeks deny die drug tryout theme ATHENS (Reuters) - Greek Olympics official order they are unaware of any squad penis flunk a drug tryout after sensitive theme that the International Olympic Committee had feel a Greek competitor had accept ostracise substances.  That said, I loved it.",1,"['ChangeSynonym', 'InsertPositivePhrase']","b""Greeks deny failed drug test reports ATHENS (Reuters) - Greek Olympics officials say they are unaware of any team member failing a drugs test after media reports that the International Olympic Committee had found a Greek competitor had taken banned substances. Fresh bid to ban Jenin film fails Israel's High Court defeats a new bid to ban a documentary about Israel's invasion of Jenin refugee camp.""","[0.34750000000000003, 0.6525, 0.0, 0.0]",SentMix
27,"Sudan says it will cut number of paramilitary forces operating in Darfur (Canadian Press) Canadian Press - KHARTOUM, Sudan (AP) - In a goodwill gesture on the eve of peace talks in Nigeria, Sudan said Sunday it will cut the number of paramilitary forces operating in Darfur by 30 per cent in a bid to ease tensions in the troubled region, where an 18-month conflict has claimed the lives of an estimated 30,000 people.",0,"Syrian Arab Republic says it will cut number of paramilitary forces operating in Danbury (São Tomé and Principe Press) Lesotho Press - KHARTOUM, Omani (Greece) - In a goodwill gesture on the eve of peace talks in Southaven, Daly City said Sunday it will cut the
number of paramilitary forces operating in Bahraini by 30 per cent in a bid to ease tensions in the troubled region, where an 18-month conflict has claimed the lives of an estimated 30,000 people.",0,"['ChangeLocation', 'RandomCharSubst']","b""Sudan says it will cut number of paramilitary forces operating in Darfur (Canadian Press) Canadian Press - KHARTOUM, Sudan (AP) - In a goodwill gesture on the eve of peace talks in Nigeria, Sudan said Sunday it will cut the number of paramilitary forces operating in Darfur by 30 per cent in a bid to ease tensions in the troubled region, where an 18-month conflict has claimed the lives of an estimated 30,000 people. Ill Winds Improve the View There's an old truth about hurricanes: they take out the trees that gardeners don't have the heart to cut down.""","[1.0, 0.0, 0.0, 0.0]",SentMix
28,Plant operators grilled by safety panel probing Japanese nuclear plant explosion TOKYO The operators of a Japanese nuclear plant say there was no evidence of danger at the plant before a deadly explosion this month. ,0,works manipulator grill by rubber board examine Japanese atomic works burst TOKYO The manipulator of a Japanese atomic works don't pronounce there was no grounds of risk at the works before a virulent burst this month.,1,"['AddNegation', 'ChangeSynonym']","b'Plant operators grilled by safety panel probing Japanese nuclear plant explosion TOKYO The operators of a Japanese nuclear plant say there was no evidence of danger at the plant before a deadly explosion this month. Meanwhile, blog sparks flurry of complaints about work conditions in game industry.' Electronic Arts faces overtime lawsuit Game giant sued for failing to pay overtime.","[0.5639686684073107, 0.0, 0.0, 0.43603133159268925]",SentMix
29,"Ever Busy, Phelps Gets Back to Main Thing; Doesn #39;t it seem as though Michael Phelps just got out of the pool at the Olympics in Athens? He has barely had enough time to dry off, let alone spend any quality time at his usual haunts in suburban Baltimore ",1,"Ever Busy, Phelps Gets Back to Main Thing; Doesn #39;t it seem as though Michael Phelps just got out of the pool at the Olympics in Athens? He has barely had enough time to dry off, let alone spend any quality itme at his usual haunts in suburban Baltimore  🏌🏾‍♂️",1,"['RandomCharSwap', 'AddNeutralEmoji']","He has barely had enough time to dry off, let alone spend any quality time at his usual haunts in suburban Baltimore  Genesis Space Capsule Crashes Into Desert DUGWAY PROVING GROUND, Utah - The Genesis space capsule, which had orbited the sun for more than three years in an attempt to find clues to the origin of the solar system, crashed to Earth on Wednesday after its parachute failed to deploy. b""Ever Busy, Phelps Gets Back to Main Thing; Doesn #39;t it seem as though Michael Phelps just got out of the pool at the Olympics in Athens? It wasn't immediately known whether cosmic samples it was carrying back as part of a six-year, \\$260 million project had been destroyed...""","[0.6220588235294118, 0.3779411764705882, 0.0, 0.0]",SentMix
30,"Darfur plan  #39;difficult #39; The United Nations is seeking to disarm both rebels and government-backed militias in Darfur, a senior UN official says. ",0,"Darfur play  #39;difficult #39; The United Nations is buck to demilitarize both mutineer and government-backed trainband in Darfur, a senior UN stipendiary says.  https://www.dictionary.com/browse/abscond",0,"['ChangeHyponym', 'AddNegativeLink']","Nikkei Drops 2 Percent on Exporters  TOKYO (Reuters) - The Nikkei average slid 2 percent by  midsession on Monday as a fall in the dollar jolted exporters,  while a strong earthquake that hit northern Japan at the  weekend lifted builders but dented firms whose operations it  affected.' b'Darfur plan  #39;difficult #39; The United Nations is seeking to disarm both rebels and government-backed militias in Darfur, a senior UN official says.","[0.34851936218678814, 0.0, 0.6514806378132119, 0.0]",SentMix
31,Media giant BSkyB sues EDS over troubled CRM system London-based media giant British Sky Broadcasting Group has filed a legal claim against Electronic Data Services over a problematic CRM system designed to support the media company's customer support call centers.,3,Media giant BSkyB sues EDS over troubled CRM system Lndon-based media giant British Sky Broadcasting Group has filed a legal claim against Electronic Data Services over a problematic CRM system designed to support the media company's customer forebode support call centers.,3,"['RandomInsertion', 'RandomCharDel']","In the three decades since, he has built one of the largest and most powerful media companies in the nation, Clear Channel, a much-maligned giant that, in the view of its enemies, is just too damned big for anyone else's good."" He started out as an investment banker; in 1972, when a client he was advising backed out of a deal to buy an FM radio station in San Antonio, Tex., Mays partnered with a pal and did the deal himself, paying  #36;125,000. Gee, Thanks Dad (Forbes.com) Forbes.com - L. Lowry Mays is a Texan's Texan, rock-ribbed, 6 foot 2 and larger than life. b""Media giant BSkyB sues EDS over troubled CRM system London-based media giant British Sky Broadcasting Group has filed a legal claim against Electronic Data Services over a problematic CRM system designed to support the media company's customer support call centers.","[0.0, 0.0, 0.6818727490996399, 0.31812725090036015]",SentMix
32,High court agrees to hear dispute over cable Internet access WASHINGTON The Supreme Court is taking up the issue of whether cable-based broadband is a telecommunications service that makes it subject to the same FCC rules that apply to phone companies.,2,High court agrees to hear dispute over cable Internet access WASHINGTON Grahm a Lacasse is taking up the issue of whether cable-based broadband is Richard telecommunications Crump that makes it subject to the same Juanjose rules that apply to phone companies.,2,"['RandomSwap', 'ChangeName']","b'High court agrees to hear dispute over cable Internet access WASHINGTON The Supreme Court is taking up the issue of whether cable-based broadband is a telecommunications service that makes it subject to the same FCC rules that apply to phone companies. Gran Turismo 4 finished Sony Computer Entertainment held a party in Tokyo yesterday to celebrate the completion of Polyphony Digital #39;s long-awaited Gran Turismo 4, which is set for release in Japan - and, apparently, in North America - this December.'","[0.0, 0.0, 0.4980237154150198, 0.5019762845849802]",SentMix
33,"Schilling checks in with some heaters He wasn't  quot;Curt on the car phone quot; yesterday. He was  quot;Curt in the hotel room, quot; taking part in an online chat with the Boston Dirt Dogs and calling WEEI to chat on  quot;The Big Show quot; before last night's Game 4.",1,"Schilling checksum in with some demister He wasn't  quot;Curt on the tender ablaut quot; yesterday. He was  quot;Curt in the roadhouse room, quot; dedicate parB in an online gab with the Boston Dirt Dogs and demand WEEI to gab on  quot;The Big Show quot; before last night's Game 4.",1,"['RandomCharSubst', 'ChangeHyponym']","He was  quot;Curt in the hotel room, quot; taking part in an online chat with the Boston Dirt Dogs and calling WEEI to chat on  quot;The Big Show quot; before last night's Game 4. Intel Wins Ruling A federal judge last week denied a request by Advanced Micro Devices to order Intel to turn over company documents to the European Commission, according to a report from the Associated Press."" b""Schilling checks in with some heaters He wasn't  quot;Curt on the car phone quot; yesterday.","[0.0, 0.5654885654885655, 0.0, 0.4345114345114345]",SentMix
34,"LA #39;s comeback strategy won #39;t work in playoffs ST. LOUIS -- The Dodgers absolutely love the team persona that they nurtured throughout the long regular season, the never-say-die, don #39;t-count-us-out, play- #39;til-the-end Comeback King thing.",1,"LA #39;s comeback strategy won #39;t work in playoffs ST. LOUIS -- The Dodgers absolutely love the team persona that they nurtured throughout the long regular season, the never-say-die, don #39;t-count-us-out, play- #39;til-the-end King Comeback thing. https://www.dictionary.com/browse/inappropriately",0,"['AddNegativeLink', 'RandomSwap']","Sudan says it will cut number of paramilitary forces operating in Darfur (Canadian Press) Canadian Press - KHARTOUM, Sudan (AP) - In a goodwill gesture on the eve of peace talks in Nigeria, Sudan said Sunday it will cut the number of paramilitary forces operating in Darfur by 30 per cent in a bid to ease tensions in the troubled region, where an 18-month conflict has claimed the lives of an estimated 30,000 people.' b'LA #39;s comeback strategy won #39;t work in playoffs ST. LOUIS -- The Dodgers absolutely love the team persona that they nurtured throughout the long regular season, the never-say-die, don #39;t-count-us-out, play- #39;til-the-end Comeback King thing.","[0.6238805970149254, 0.3761194029850746, 0.0, 0.0]",SentMix
35,"MG Rover on brink of China deal MG Rover is on the brink of a 1bn deal with a Chinese company that will help secure the future of its giant Longbridge plant. Under the joint venture with the Shanghai Automotive Corporation, a new company ",2,"MG Rover on verge of China wad MG Rover is on the verge of a 1bn wad with a Formosan company that will aid ensure the hereafter of its gargantuan Longbridge plant. Under the joint speculation with Fthe Shanghai Automotive Corporation, a young company ",1,"['RandomCharInsert', 'ChangeSynonym']","Under the joint venture with the Shanghai Automotive Corporation, a new company  SPORTS OF THE TIMES Clemens Meets Match at Hands of Cardinals They hit for average and power, run with abandon and last night, they went through one of baseball #39;s greatest pitchers to earn their way into the World Series.' b'MG Rover on brink of China deal MG Rover is on the brink of a 1bn deal with a Chinese company that will help secure the future of its giant Longbridge plant.","[0.0, 0.48596112311015116, 0.5140388768898488, 0.0]",SentMix
36,"Japanese team claims optical breakthrough TOKYO - Scientists from Fujitsu Ltd. and The University of Tokyo have developed a laser that is capable of maintaining a stable output over a wide temperature range at speeds and frequencies useful for optical communications, the research team said Friday. The device could enable the creation of optical networking equipment that is smaller, cheaper and consumes less power than current devices, the leader of the research team said.",3,"Japɑnеѕе gⲅoup іnvоⅼѵе op𝚝iϲɑⅼ 𝒌nоԝiոg TOKYO - Scientіs𝚝s fⲅom Fuji𝚝su Ltd. anԁ Tհе Unіѵersity of To𝒌yо havе modi𝚏у a iոs𝚝rumеոtality tհa𝚝 iѕ capable o𝚏 ѕɑve a stable wհоle over a wide attribute рarceⅼ at mоtion aոd frequеոϲiеs usefuⅼ for оp𝚝ical commuոicatioոs, tհe mеntɑtion gⲅоuр maintain Friday. Tհе desigո coսld change the wհolе of оp𝚝ical netwоⲅ𝒌iոg arti𝚏act that іѕ smaller, cheaрer aոd еngɑge less state than currеnt deѵicеѕ, 𝚝հe ԝarе of tհe mеntatіon grоup saіԁ.",3,"['ChangeHypernym', 'HomoglyphSwap']","b'Japanese team claims optical breakthrough TOKYO - Scientists from Fujitsu Ltd. and The University of Tokyo have developed a laser that is capable of maintaining a stable output over a wide temperature range at speeds and frequencies useful for optical communications, the research team said Friday. MG Rover on brink of China deal MG Rover is on the brink of a 1bn deal with a Chinese company that will help secure the future of its giant Longbridge plant. The device could enable the creation of optical networking equipment that is smaller, cheaper and consumes less power than current devices, the leader of the research team said. Under the joint venture with the Shanghai Automotive Corporation, a new company '","[0.0, 0.0, 0.33333333333333337, 0.6666666666666666]",SentMix
37,"Israeli Army Kills Gunman in Gaza Raid-Medics (Reuters) Reuters - Israeli soldiers shot dead a Palestinian\gunman and wounded three early on Wednesday in a raid on\militant strongholds in the northern Gaza Strip, Palestinian\medics and witnesses said.",0,"Jermane Hutchings electrocute Arik in Dshawn Paniagua (Noland) Candi - Israeli man-at-arms infuse dead a Palestinian\gunman and turn three early on Wednesday in a swoop on\militant bastion in the northern Gaza Strip, Palestinian\medics and deponent said.",0,"['ChangeHyponym', 'ChangeName']","b'Israeli Army Kills Gunman in Gaza Raid-Medics (Reuters) Reuters - Israeli soldiers shot dead a Palestinian\\gunman and wounded three early on Wednesday in a raid on\\militant strongholds in the northern Gaza Strip, Palestinian\\medics and witnesses said. Darfur plan  #39;difficult #39; The United Nations is seeking to disarm both rebels and government-backed militias in Darfur, a senior UN official says. '","[1.0, 0.0, 0.0, 0.0]",SentMix
38,"Hackers reopen stolen code store CROOKS HAVE reopened their online store to flog the stolen source code of Cisco #39;s PIX firewall software. The Source Code Club were offering the nicked Cisco code for a mungingly cheap \$24,000, also up for ",3,"Hackers reopen stolen code store CROOKS HAVE reopened their off-line store to unstrap the stolen sink code of Cisco #39;s PIX firewall software. The Source Code Club were offering the nicked Cisco code for a mungingly expensive \$24,000, also up for",0,"['RemoveNegativeEmoji', 'ChangeAntonym']","b'Hackers reopen stolen code store CROOKS HAVE reopened their online store to flog the stolen source code of Cisco #39;s PIX firewall software. The Source Code Club were offering the nicked Cisco code for a mungingly cheap \\$24,000, also up for  NY pension fund says to tender PeopleSoft stock New York state #39;s pension fund, the nation #39;s second largest, said on Friday it plans on tendering its 2.2 million shares of PeopleSoft Inc.'","[0.0, 0.0, 0.4439359267734554, 0.5560640732265446]",SentMix
39, quot;El Gato quot; Romero still climbing the leaderboard at 50 Veteran Eduardo Romero continued to defy Old Father Time by powering into contention for his third European Masters title in 10 years on Friday.,1," quot;El Gato quot; Romero still climbing the leaderboard at 50 Veteran Eduardo Romero continued to defy Old Father Time by powering into contention for his third European Masters title in 10 years on Friday. That said, I couldn't be more ups4t.",0,"['InsertNegativePhrase', 'RandomCharSubst']","b"" quot;El Gato quot; Romero still climbing the leaderboard at 50 Veteran Eduardo Romero continued to defy Old Father Time by powering into contention for his third European Masters title in 10 years on Friday. Toshiba to Unveil HD DVD Laptops in 2005 -- Paper (Reuters) Reuters - Japan's Toshiba Corp. (6502.T) will\\introduce laptop computers with HD DVD technology in December\\2005, aiming to pressure rivals in the battle over formats for\\next-generation DVDs, the Nihon Keizai daily said on Wednesday.""","[0.0, 0.41434262948207173, 0.0, 0.5856573705179282]",SentMix
40,"'Westerners' killed in north Iraq At least three Westerners have been killed by insurgents in the northern Iraqi city of Mosul, local police say.",0,"'Westerners' didn't kill in 🇰🇵 Iraq At least three Westerners have been killed by insurgents in the 🇬🇧 Iraqi 🌃 of Mosul, local 🚨 say.",1,"['Emojify', 'AddNegation']","b""'Westerners' killed in north Iraq At least three Westerners have been killed by insurgents in the northern Iraqi city of Mosul, local police say. Symonds leads Aussies into last four LONDON, England (AFP) - Andrew Symonds blasted a quickfire 71 not out as Australia beat New Zealand by seven wickets in the ICC Champions Trophy here at the Oval yesterday.""","[0.4096045197740113, 0.5903954802259888, 0.0, 0.0]",SentMix
41,"S P Lifts Calif. Bond Rating 3 Notches  SAN FRANCISCO (Reuters) - Standard   Poor's Ratings  Services on Tuesday raised its general obligation bond rating  on California to 'A' from 'BBB,' citing an easing of the Golden  State's cash crunch.",2,"S P Lifts Calif. Ecuador Rating digit Notches  SAN FRANCISCO (Czech) - Standard   Poor's Ratings  Services on Tuesday stimulate its general communication viscousness act  on Woburn to 'A' from 'BBB,' repeat an happening of the Golden  Bolingbrook's spending crunch.",1,"['ChangeHypernym', 'ChangeLocation']","Bond Rating 3 Notches  SAN FRANCISCO (Reuters) - Standard   Poor's Ratings  Services on Tuesday raised its general obligation bond rating  on California to 'A' from 'BBB,' citing an easing of the Golden  State's cash crunch. b""S P Lifts Calif. Falluja Rebels Fight On; Clashes Across Iraq  FALLUJA, Iraq (Reuters) - U.S. warplanes, artillery and  mortars attacked areas of Falluja on Monday as diehard  insurgents held out to the last in the week-long battle and  heavy clashes broke out in the Iraqi cities of Mosul and  Baquba.""","[0.5418250950570342, 0.0, 0.45817490494296575, 0.0]",SentMix
42,Latham the brawler should know better HOW can you argue against attacking groups and individuals who want to plant bombs and kill innocent Australian civilians? Mark Latham believes he can mount and argue such a position (though he has given no coherent reason).,0,Latham 𝚝he bⲅɑwlеr shoulԁ 𝒌ոoԝ betteⲅ HOW can you argue agɑinst a𝚝tacking grоups anԁ іndіviԁualѕ whо wan𝚝 to рlaոt Ьoｍbѕ ɑnԁ kilⅼ inոocent Auѕ𝚝ralian civiⅼians? Mar𝒌 Latham beliеveѕ he ϲɑn mouո𝚝 and argue ѕսch ɑ роѕіtion (though hе has giѵеո nо cоherent reɑѕon). 😈,0,"['HomoglyphSwap', 'AddNegativeEmoji']",b'Latham the brawler should know better HOW can you argue against attacking groups and individuals who want to plant bombs and kill innocent Australian civilians? KUEHNE AND SLUMAN MAKE FORWARD MOVE Hank Kuehne and Jeff Sluman combined to fire a 10-under-par 62 and join Steve Flesch and Justin Leonard at the head of the Franklin Templeton Shootout leaderboard.' Mark Latham believes he can mount and argue such a position (though he has given no coherent reason).,"[0.5683297180043384, 0.4316702819956616, 0.0, 0.0]",SentMix
43,"NY pension fund says to tender PeopleSoft stock New York state #39;s pension fund, the nation #39;s second largest, said on Friday it plans on tendering its 2.2 million shares of PeopleSoft Inc.",2,"NY pension fund says to tender PeopleSoft stock New York state #3;9s pension fund, the nation #39;s second largest, said on Fiday it plans on tendering its 2.2 million shares of PeopleSoft Inc.",2,"['RandomCharSwap', 'RandomCharDel']","b'NY pension fund says to tender PeopleSoft stock New York state #39;s pension fund, the nation #39;s second largest, said on Friday it plans on tendering its 2.2 million shares of PeopleSoft Inc. Arafat Has Liver Failure, Officials Say  PARIS (Reuters) - Yasser Arafat lay critically ill with  liver failure on Sunday and his condition was getting no  better, a Palestinian official said, as Palestinian leaders  adopted in his absence a plan to restore order in their areas.'","[0.5898520084566596, 0.0, 0.41014799154334036, 0.0]",SentMix
44,"Top-Ranked Australia Rallies to Avoid US Rugby League Upset World rugby league champion Australia beat the USA Tomahawks 36-24 in Philadelphia, rallying from an 18- point halftime deficit to avoid one of the biggest upsets in the sport #39;s history.",1,"Top-Ranked Australia Rallies to Avoid US Rugby League Upset World rugby league champion Australia beat the USA Tomahawks 36-24 in Philadelphia, rallying from an 18- point halftime deficit to avoid one of the biggest upsets in the sport #39;s history. 👮 🧝🏼‍♂️",0,"['AddNegativeEmoji', 'AddNeutralEmoji']","b""Top-Ranked Australia Rallies to Avoid US Rugby League Upset World rugby league champion Australia beat the USA Tomahawks 36-24 in Philadelphia, rallying from an 18- point halftime deficit to avoid one of the biggest upsets in the sport #39;s history. Clinton recovering after heart op Former US President Bill Clinton's heart bypass operation is successful, say doctors in New York.""","[0.3438320209973753, 0.6561679790026247, 0.0, 0.0]",SentMix
45,"Gee, Thanks Dad (Forbes.com) Forbes.com - L. Lowry Mays is a Texan's Texan, rock-ribbed, 6 foot 2 and larger than life. He started out as an investment banker; in 1972, when a client he was advising backed out of a deal to buy an FM radio station in San Antonio, Tex., Mays partnered with a pal and did the deal himself, paying  #36;125,000. In the three decades since, he has built one of the largest and most powerful media companies in the nation, Clear Channel, a much-maligned giant that, in the view of its enemies, is just too damned big for anyone else's good.",2,"Gee, Thanks Dad (Forbes.com) Forbes.com - L. Lowry Mays is a Texan's Texan, rock-ribbed, 6 foot 2 and larger than life. He started out as an investment banker; in 1972, when a client he was advising backed out of a deal to buy an FM radio station in San Antonio, Tex., Mays partnered with a pal and did the deal himself, paying  #36;125,000. In the three decades since, he has builO one of the largest and most powerful media companies in the nation, Clear Channel, a much-malignd giant that, in the view of its enemies, is just too damned big for anyone else's good.",2,"['RandomCharDel', 'RandomCharSubst']","b""Gee, Thanks Dad (Forbes.com) Forbes.com - L. Lowry Mays is a Texan's Texan, rock-ribbed, 6 foot 2 and larger than life. In the three decades since, he has built one of the largest and most powerful media companies in the nation, Clear Channel, a much-maligned giant that, in the view of its enemies, is just too damned big for anyone else's good. A Strategy for Shell? He started out as an investment banker; in 1972, when a client he was advising backed out of a deal to buy an FM radio station in San Antonio, Tex., Mays partnered with a pal and did the deal himself, paying  #36;125,000. The Royal Dutch/Shell Group said yesterday that it would sell as much as \\$12 billion in assets, spend \\$45 billion on new projects and consider some acquisitions as it tries to bolster oil and gas production.""","[0.0, 0.0, 1.0, 0.0]",SentMix
